,ATM,Total,OK,criticidad
0,A023,1195000.0,OK,
1,A024,440000.0,Fail,
2,D015,961780.0,OK,
3,D016,825680.0,OK,
4,0181,1143000.0,OK,
5,0182,820600.0,OK,
6,1116,1223700.0,OK,
7,8572,680900.0,OK,
8,9947,621340.0,OK,
9,B364,647540.0,OK,
10,0347,857400.0,OK,
11,7062,570600.0,OK,
12,7066,601550.0,OK,
13,0400,478540.0,Fail,
14,0416,510400.0,OK,
15,3733,881500.0,OK,
16,3734,707600.0,OK,
17,3735,1220000.0,OK,
18,0888,346180.0,Fail,
19,3962,317120.0,Fail,
20,3963,763740.0,OK,
21,9915,1238720.0,OK,
22,3822,877800.0,OK,
23,3823,636500.0,OK,
24,3477,424480.0,Fail,
25,5857,698880.0,OK,
26,1876,611000.0,OK,
27,2036,478000.0,OK,
28,2084,912700.0,OK,
29,3018,738240.0,OK,
30,D112,560700.0,OK,
31,D113,679640.0,OK,
32,0706,1068600.0,OK,
33,6421,534900.0,Fail,
34,0015,1322500.0,OK,
35,0341,632720.0,OK,
36,5815,1325980.0,OK,
37,A828,799920.0,OK,
38,A821,338600.0,Fail,
39,A822,223600.0,Fail,
40,A823,96300.0,Fail,C
41,9922,546280.0,OK,
42,D358,766000.0,OK,
43,D359,634700.0,OK,
44,D361,930960.0,OK,
45,2844,543400.0,Fail,
46,2845,901800.0,OK,
47,6673,473500.0,OK,
48,8119,978900.0,OK,
49,8200,472300.0,OK,
50,8295,1293400.0,OK,
51,A180,533500.0,OK,
52,4805,576260.0,OK,
53,9520,626800.0,OK,
54,9525,686560.0,OK,
55,C679,969960.0,OK,
56,D139,657420.0,OK,
57,D140,620960.0,OK,
58,D141,541800.0,OK,
59,4894,1243000.0,OK,
60,4895,1184300.0,OK,
61,8629,504100.0,OK,
62,1960,623540.0,OK,
63,2475,933540.0,OK,
64,5550,644200.0,OK,
65,A510,783840.0,OK,
66,3781,273600.0,Fail,
67,3782,566900.0,OK,
68,3945,566900.0,OK,
69,8587,646380.0,OK,
70,E968,1396160.0,OK,
71,B021,490700.0,Fail,
72,E211,659760.0,OK,
73,4041,528800.0,Fail,
74,4390,660100.0,OK,
75,4423,708900.0,OK,
76,4430,627600.0,OK,
77,8785,1001000.0,OK,
78,9284,668760.0,OK,
79,9287,706980.0,OK,
80,9293,838660.0,OK,
81,9957,522060.0,OK,
82,0179,1601500.0,OK,
83,0543,1612200.0,OK,
84,2309,815180.0,OK,
85,2733,228180.0,Fail,
86,7083,285840.0,Fail,
87,8713,557020.0,OK,
88,1689,955900.0,OK,
89,1776,1199800.0,OK,
90,A540,454400.0,Fail,
91,D110,505080.0,OK,
92,D111,867860.0,OK,
93,4320,484100.0,Fail,
94,4326,460800.0,Fail,
95,4546,146000.0,Fail,C
96,3067,638060.0,OK,
97,3074,410120.0,Fail,
98,4604,557360.0,OK,
99,4728,467300.0,Fail,
100,9903,637300.0,OK,
101,9913,366700.0,Fail,
102,4144,821900.0,OK,
103,4591,433260.0,Fail,
104,4973,721560.0,OK,
105,A846,1055960.0,OK,
106,4068,1059700.0,OK,
107,4075,1149400.0,OK,
108,6077,1211980.0,OK,
109,6078,867320.0,OK,
110,E984,280540.0,Fail,
111,A274,524800.0,OK,
112,A275,772900.0,OK,
113,3028,684520.0,OK,
114,D034,529340.0,OK,
115,D035,951840.0,OK,
116,3131,330000.0,Fail,
117,3132,620700.0,OK,
118,3133,1214100.0,OK,
119,3134,757300.0,OK,
120,6439,539980.0,OK,
121,6440,624760.0,OK,
122,6441,425000.0,Fail,
123,6442,413500.0,Fail,
124,1106,471600.0,Fail,
125,5334,497700.0,Fail,
126,5901,503760.0,Fail,
127,6574,922140.0,OK,
128,6782,1170240.0,OK,
129,4086,1532400.0,OK,
130,4088,1702300.0,OK,
131,4094,1492600.0,OK,
132,2688,1018740.0,OK,
133,5943,691720.0,OK,
134,7281,797100.0,OK,
135,7383,503640.0,Fail,
136,0555,1293500.0,OK,
137,1418,1405600.0,OK,
138,1421,1725500.0,OK,
139,1672,1340700.0,OK,
140,3505,568980.0,OK,
141,4710,817440.0,OK,
142,6824,403100.0,Fail,
143,7003,880620.0,OK,
144,7018,841900.0,OK,
145,7019,728420.0,OK,
146,7020,863960.0,OK,
147,0161,328250.0,Fail,
148,0335,390800.0,Fail,
149,D096,579260.0,OK,
150,D097,567360.0,OK,
151,D689,335400.0,Fail,
152,0018,1066700.0,OK,
153,7005,766800.0,OK,
154,7014,1085100.0,OK,
155,7787,875900.0,OK,
156,3399,670280.0,OK,
157,4150,679080.0,OK,
158,7051,474620.0,Fail,
159,7055,610180.0,OK,
160,B023,1281500.0,OK,
161,B024,486800.0,OK,
162,B025,1116000.0,OK,
163,E212,81860.0,Fail,C
164,E213,659680.0,OK,
165,8183,663600.0,OK,
166,8187,383900.0,Fail,
167,8188,1103200.0,OK,
168,8202,1696000.0,OK,
169,6268,781480.0,OK,
170,6270,410460.0,Fail,
171,6271,448420.0,Fail,
172,6272,621820.0,OK,
173,B750,1683400.0,OK,
174,B751,1576300.0,OK,
175,B752,1707000.0,OK,
176,B753,1602850.0,OK,
177,B754,1405200.0,OK,
178,D878,950900.0,OK,
179,D879,604540.0,OK,
180,D880,1100100.0,OK,
181,D881,803000.0,OK,
182,D882,827520.0,OK,
183,D883,673420.0,OK,
184,C581,733100.0,OK,
185,C582,792500.0,OK,
186,C583,728600.0,OK,
187,C584,424600.0,Fail,
